url,titulo_pagina,seo_title,meta_description,focus_keywords
/,Início,Télix | Central de Atendimento para Operadoras de Saúde,"Central de atendimento especializada em saúde suplementar: SAC, regulação e remoção hospitalar 24h, agendamento (RN 566) e protocolo (RN 623). Desde 2012.",central de atendimento saúde suplementar
/a-telix/,A Télix: quem somos,Quem somos: especialistas em saúde suplementar | Télix,"Desde 2012, a Télix é especialista em atendimento e regulação para operadoras de planos de saúde. Conheça nossa missão, valores, história e estrutura 24h.",Télix
/acessibilidade/,Acessibilidade,Acessibilidade: recursos e compromisso | Télix,"Conheça os recursos de acessibilidade do site da Télix: Libras (VLibras), alto contraste, ajuste de fonte, guia de leitura, navegação por teclado e mais.",acessibilidade
/canal-de-denuncia/,Canal de Denúncia — Ética e Compliance,Canal de Denúncia e Ética: relato anônimo | Télix,"Relate condutas antiéticas, assédio, fraude ou corrupção com confidencialidade, opção de anonimato e proteção contra retaliação. Receba um protocolo.",canal de denúncia
/canal-lgpd/,Canal LGPD — Direitos do Titular de Dados,Canal LGPD: exerça seus direitos de titular | Télix,"Solicite acesso, correção, eliminação, portabilidade ou informações sobre seus dados pessoais. Canal oficial do Encarregado (DPO) da Télix, com protocolo.",canal LGPD
/clientes/,Clientes,Clientes: operadoras de saúde atendidas | Télix,"Cooperativas do Sistema Unimed e operadoras de saúde suplementar do Centro-Oeste, Norte e Nordeste que confiam à Télix o atendimento aos seus beneficiários.",clientes Télix
/conformidade/,"Conformidade — Ética, LGPD e Governança","Conformidade: ética, LGPD e apoio às normas ANS | Télix","Política Integrada de Gestão, missão e valores, comitês de Compliance e Proteção de Dados, políticas de LGPD, segurança e IA, canal de denúncia e ouvidoria.",conformidade
/conformidade/glossario-lgpd/,Glossário LGPD,Glossário LGPD: termos de proteção de dados | Télix,"Entenda os principais termos da Lei Geral de Proteção de Dados: dado pessoal, dado sensível, controlador, operador, encarregado, anonimização e tratamento.",glossário LGPD
/conformidade/politica-de-compliance/,Política de Compliance e Integridade,Política de Compliance e Código de Conduta | Télix,"Código de Conduta da Télix: anticorrupção, conflito de interesses, brindes, assédio, LGPD, due diligence e canal de denúncia com proteção contra retaliação.",política de compliance
/conformidade/politica-de-cookies/,Política de Cookies,Política de Cookies | Télix Comunicação,"Saiba quais cookies e tecnologias de armazenamento o site da Télix usa, para que servem, por quanto tempo e como gerenciar suas preferências quando quiser.",política de cookies
/conformidade/politica-de-inteligencia-artificial/,Política de Inteligência Artificial,Política de Uso Ético de Inteligência Artificial | Télix,"Veja como a Télix usa inteligência artificial no atendimento à saúde suplementar: supervisão humana, transparência, LGPD e nenhuma decisão clínica por IA.",política de inteligência artificial
/conformidade/politica-de-privacidade/,Política de Privacidade e Proteção de Dados (LGPD),Política de Privacidade e Proteção de Dados | Télix,"Veja como a Télix trata dados pessoais e de saúde: finalidades, bases legais da LGPD, prazos de guarda, segurança e como exercer seus direitos com o DPO.",política de privacidade
/conformidade/politica-de-seguranca-da-informacao/,Política de Segurança da Informação,Política de Segurança da Informação (PSI) | Télix,"Veja como a Télix protege dados de operadoras e beneficiários: acesso com MFA, mesa limpa, backup, resposta a incidentes pela LGPD e treinamento contínuo.",política de segurança da informação
